gender,cgpa,attendance,internship,projects,communication,aptitude_score,coding_score,backlogs,extracurricular,placed
Male,7.19,79.99,Yes,1,Medium,84,63,2,No,0
Female,7.54,89.87,Yes,3,High,66,75,0,No,1
Male,9.17,82.51,No,3,Medium,62,59,0,Yes,0
Male,6.96,63.33,No,1,Medium,49,82,1,No,0
Male,9.24,67.42,Yes,4,Low,93,84,1,No,1
Female,5.88,68.77,Yes,2,Medium,41,96,2,No,0
Male,8.84,70.31,Yes,2,Medium,83,40,2,No,0
Male,9.14,82.62,Yes,3,Low,87,99,3,Yes,1
Male,6.28,80.16,Yes,5,Medium,46,74,3,No,0
Female,7.35,68.13,Yes,1,High,41,82,0,Yes,1
Male,6.21,62.7,No,5,Medium,55,59,1,Yes,0
Male,8.54,66.86,Yes,2,High,93,79,0,Yes,1
Male,7.8,99.38,No,3,Low,45,40,1,Yes,0
Male,8.23,78.74,Yes,3,Low,55,90,3,Yes,1
Female,6.34,94.69,Yes,3,Medium,64,85,1,Yes,1
Male,6.41,93.95,Yes,3,Low,84,89,1,Yes,1
Female,5.68,80.46,No,3,Low,49,45,3,Yes,0
Female,6.88,88.27,Yes,1,Low,98,99,3,Yes,0
Female,7.91,67.71,No,5,High,91,80,1,No,1
Male,9.19,87.54,No,2,Low,48,65,2,Yes,0
Female,8.37,70.9,Yes,2,Low,71,68,1,Yes,1
Male,7.37,93.28,Yes,3,Low,71,80,3,Yes,0
Female,9.6,63.35,No,3,High,41,54,2,No,0
Female,8.59,90.93,Yes,3,Medium,60,97,2,Yes,1
Female,9.5,64.0,Yes,4,Low,87,76,0,Yes,1
Female,7.77,95.25,Yes,2,High,42,58,3,Yes,1
Female,6.61,72.17,Yes,3,High,93,95,0,No,1
Female,5.73,86.18,No,5,Medium,73,48,3,Yes,0
Female,8.62,79.5,Yes,4,Low,68,80,2,Yes,1
Female,6.02,74.65,Yes,1,Medium,81,98,2,No,0
Male,6.8,85.82,Yes,4,High,96,56,3,Yes,0
Male,7.79,97.9,No,4,Low,59,71,2,Yes,0
Female,7.93,61.65,No,4,Low,62,67,3,No,0
Female,8.08,96.75,No,5,Low,76,54,1,Yes,0
Female,6.21,84.36,No,2,Medium,47,97,3,Yes,0
Male,7.13,92.29,Yes,3,Medium,83,92,3,Yes,0
Female,8.15,75.35,Yes,5,Low,75,81,1,Yes,1
Male,9.67,78.87,Yes,5,Low,53,67,2,Yes,0
Male,8.63,94.75,No,3,High,62,48,2,Yes,0
Male,9.47,76.59,No,4,High,66,66,2,Yes,0
Male,8.78,81.39,No,1,High,54,58,0,Yes,1
Male,8.04,60.81,No,4,High,92,46,0,No,1
Female,6.33,66.34,Yes,4,Medium,74,64,3,No,0
Female,8.37,85.67,Yes,2,Low,95,69,3,Yes,0
Female,8.18,88.68,Yes,4,Medium,61,52,3,Yes,0
Female,8.09,83.3,Yes,1,Medium,86,41,1,No,1
Female,7.61,65.73,Yes,5,Medium,75,57,1,Yes,1
Male,7.77,77.82,Yes,4,Medium,54,92,0,Yes,1
